Date,Actual,Mapped
2008-05-17,879.0,0.22894168466522677
2008-05-18,839.0,0.14254859611231102
2008-05-19,886.0,0.24406047516198703
2008-05-20,911.0,0.2980561555075594
2008-05-21,918.0,0.31317494600431967
2008-05-22,851.0,0.16846652267818574
2008-05-23,831.0,0.12526997840172785
2008-05-24,880.0,0.23110151187904968
2008-05-25,933.0,0.34557235421166305
2008-05-26,992.0,0.47300215982721383
2008-05-27,865.0,0.19870410367170627
2008-05-28,859.0,0.1857451403887689
2008-05-29,853.0,0.17278617710583152
2008-05-30,773.0,0.0
2008-05-31,839.0,0.14254859611231102
2008-06-01,898.0,0.26997840172786175
2008-06-02,889.0,0.2505399568034557
2008-06-03,841.0,0.1468682505399568
2008-06-04,842.0,0.1490280777537797
2008-06-05,851.0,0.16846652267818574
2008-06-06,798.0,0.05399568034557235
2008-06-07,798.0,0.05399568034557235
2008-06-08,823.0,0.1079913606911447
2008-06-09,1236.0,1.0
