Date,South of Market,North Beach,Nob Hill,Mission Bay,Russian Hill,Tenderloin,Financial District/South Beach
2008-05-17,0.8309130718975173,0.773061974565344,0.8141642531524848,0.8246576809070311,0.7987426680227284,0.8169915593599484,0.783432302223957
2008-05-18,0.7877793884404516,0.7770329999983887,0.8152039302873034,0.8589930792994381,0.7988083367643045,0.7927157849823996,0.7722646317606993
2008-05-19,0.8253816981306267,0.789516547233635,0.8080927762333253,0.8289165002683552,0.806333513252156,0.792944469353657,0.784777417683276
2008-05-20,0.8089219954082926,0.8300242453974405,0.7981311950480884,0.8123333926708978,0.8201373510434372,0.8198976674194843,0.7814842088201174
2008-05-21,0.8009571113495614,0.8196115138704586,0.8104785892708226,0.8248827769371624,0.8138810993797696,0.8068710835292859,0.7830435138779372
2008-05-22,0.8042450866854826,0.8187218201041442,0.8133891979146171,0.7674892703277009,0.8171879317362022,0.7930008160960064,0.770982984779253
2008-05-23,0.7932977818338919,0.7927256015997802,0.7961554400407447,0.8589223334727041,0.8041147730178037,0.7953529928399512,0.7711135126642588
2008-05-24,0.798672590563267,0.8085765418057284,0.7897203026128724,0.8451906649988772,0.8090828603201771,0.800456756084334,0.7867378264759273
2008-05-25,0.8400196239983584,0.7608683004497552,0.813302435413778,0.8477829242514406,0.8118379172349174,0.8146927767513111,0.7965792419259337
2008-05-26,0.810447207053305,0.7984650070188619,0.8684601716682495,0.8341972451387479,0.81162448546798,0.8429113568909035,0.8140169487932302
2008-05-27,0.7893394641119239,0.7837915841840926,0.8064148923242687,0.8372739397483224,0.817755364331331,0.7990178779938268,0.7964237581688447
2008-05-28,0.8035533115595939,0.8132930570955712,0.7923677172376762,0.8110302741969381,0.8121895812329093,0.7962414923238793,0.8011583427818962
2008-05-29,0.8055492571555299,0.8230187323262905,0.8017341255698417,0.818939133115009,0.79471562441842,0.7923183610325941,0.7877422204000345
2008-05-30,0.7825159794095699,0.7952432239757841,0.8148113080179389,0.7695233402641746,0.8064383724518924,0.7915741811851283,0.7690074224682888
2008-05-31,0.8149181454400731,0.8120464193691882,0.7945443377444618,0.7356988753298703,0.8136901119369672,0.8080638162965992,0.7926945119227043
2008-06-01,0.8132583419242729,0.79350011595539,0.8259530338195692,0.8642322311932349,0.8106511701594324,0.8153135045512346,0.8026875314483792
2008-06-02,0.8265891031391905,0.8020658775018137,0.7978202541266727,0.7581991960282881,0.8068348977742974,0.8001607886044095,0.7902199219192352
2008-06-03,0.8008657120978965,0.8044747228756781,0.7954563220765837,0.7993854258250683,0.8103696970065024,0.8039650617412498,0.7871087004636191
2008-06-04,0.7895056010641718,0.8302455220180326,0.8236950637277477,0.7153782626483447,0.8182216574118373,0.7763833267902039,0.7739452407680406
2008-06-05,0.825807495141233,0.8002076686742947,0.8019954983043018,0.8163672135220789,0.8049170959396638,0.8032591467055143,0.7707712671945431
2008-06-06,0.7957415556367312,0.7790803482203359,0.8002791123199614,0.7917803012319452,0.8050561182376142,0.7973951669303969,0.7820020676034272
2008-06-07,0.8057295009537675,0.8384119908914904,0.8278879332915599,0.8450344609675577,0.8044236381825824,0.8156718508918012,0.7816886551489609
2008-06-08,0.807355548314649,0.7840513240861168,0.8138168391790906,0.8005049203720072,0.8105323195985887,0.818213035974841,0.8222382810546025
2008-06-09,0.8383602941549856,0.8409028546435494,0.8498937161104861,0.7546676218461135,0.7996220175103865,0.8058681768514515,0.8008244016677509
2008-06-10,0.8179415486307158,0.8031745175061146,0.8534767318656962,0.8593908126008647,0.8429240768003077,0.849153933231554,0.7941946404263902
